n°visita,Edad,idjumper,tiempo,fecha,hora
329,7,35545,30,26-12-2018,11:59:33 a. m.
330,10,35546,30,26-12-2018,11:59:33 a. m.
331,2,35547,30,26-12-2018,12:05:51 p. m.
332,4,35548,30,26-12-2018,12:05:51 p. m.
333,6,35549,30,26-12-2018,12:15:08 p. m.
334,11,35551,30,26-12-2018,12:35:36 p. m.
335,11,35552,30,26-12-2018,12:35:36 p. m.
336,9,35553,30,26-12-2018,12:35:36 p. m.
338,6,35554,30,26-12-2018,2:52:52 p. m.
339,20,35555,30,26-12-2018,3:33:35 p. m.
340,20,35556,30,26-12-2018,3:33:35 p. m.
341,16,35557,60,26-12-2018,3:47:17 p. m.
342,16,35558,60,26-12-2018,3:47:17 p. m.
343,8,35559,60,26-12-2018,3:51:01 p. m.
344,15,35560,30,26-12-2018,3:57:54 p. m.
345,15,35561,30,26-12-2018,3:57:54 p. m.
346,15,35562,30,26-12-2018,3:57:54 p. m.
347,15,35563,30,26-12-2018,3:57:54 p. m.
348,12,35564,30,26-12-2018,4:33:01 p. m.
349,9,35565,30,26-12-2018,4:33:01 p. m.
350,3,35566,30,26-12-2018,4:34:35 p. m.
351,17,35567,60,26-12-2018,5:20:50 p. m.
352,15,35568,60,26-12-2018,5:20:50 p. m.
353,11,35569,60,26-12-2018,5:27:45 p. m.
354,11,35570,60,26-12-2018,5:27:45 p. m.
355,3,35571,30,26-12-2018,5:45:45 p. m.
356,9,35572,30,26-12-2018,5:45:45 p. m.
357,11,35573,30,26-12-2018,5:45:45 p. m.
358,16,35574,60,26-12-2018,6:05:54 p. m.
359,13,35575,60,26-12-2018,6:05:54 p. m.
360,4,35576,30,26-12-2018,7:37:14 p. m.
361,2,35577,30,26-12-2018,7:37:14 p. m.
362,3,35578,30,26-12-2018,7:44:35 p. m.
363,31,35579,30,26-12-2018,7:48:15 p. m.
364,32,35580,30,26-12-2018,7:48:15 p. m.
365,10,35581,30,26-12-2018,7:50:38 p. m.
